 2024-11-20	16:09:15	XnoDosimetry	RnoRod	+1.2662 mWC 
 2025-03-12	09:55:28	XA01121426P	R-34	1337 nonunits
 2025-03-25	09:34:06	XA010277199	R-108	1337 nonunits
 2025-04-08	09:18:07	XA01407363O	R-146	1337 nonunits
 2025-04-23	11:02:48	XA00813523O	R-229	1337 nonunits
 2025-05-07	10:10:49	XA007867143	R-274	+1.2489 mWC 
