 2024-11-21	11:44:26	XNoDosimeter	RNoRod	+2.7311 mWC 
 2025-01-27	11:00:06	XA04105442P	RnoRod	1337 nonunit 2025-02-18	11:24:19	XA00121037W	R-80	1337 nonunits
 2025-03-05	08:57:32	XA02532141U	Rnorod	1337 nonunits
 2025-03-12	09:06:08	XA01701687B	R-90	1337 nonunits
 2025-03-25	09:08:05	XA019184197	R-106	1337 nonunits
 2025-04-08	08:36:56	XA006986621	R-175	1337 nonunits
 2025-04-23	11:23:15	XA00636763B	R-202	1337 nonunits
 2025-05-07	11:08:44	XA02175770A	R-297	+2.7342 mWC 
 2025-05-21	12:13:04	XA01830302T	R-358	+2.7277 mWC 
 2025-06-11	12:06:56	XA00914661K	R-425	+2.7236 mWC 
