 2024-11-05	12:02:15	Xnodosimeter	RNoRod	3.450	0.211	3.970	25.328
 2025-01-27	10:26:54	XA00798744W	RnoRod	1337	1337	1337	1337
 2025-02-18	11:41:23	XA02011970N	R-64	1337	1337	1337	1337
 2025-03-05	09:06:09	XA00935820H	Rnorod	1337	1337	1337	1337
 2025-03-12	09:42:12	XA00909968X	R-109	1337	1337	1337	1337
 2025-03-25	09:27:14	XA020757933	R-107	1337	1337	1337	1337
 2025-04-08	09:05:50	XA00120686I	R-179	1337	1337	1337	1337
 2025-04-23	11:16:41	XA029134893	R-237	1337	1337	1337	1337
 2025-07-02	11:07:14	XA005556681	R-444	1337	1337	1337	1337
 2025-07-17	11:31:22	XA00280860F	R-505	79.156	2.465	0.559	32.215
 2025-08-27	13:12:03	XA008076694	R-590	79.167	2.746	0.227	33.032
 2025-09-10	11:33:37	XA00590471F	R-633	1337	1337	1337	1337
 2025-10-21	10:02:26	XnoDosimeter	Rnorod	79.434	3.217	0.916	23.267
