 2024-11-05	16:02:06	XNoDosimeter	RnoROD	-28.506	4.744	2.397	24.788
 2025-03-12	09:14:29	XA00789767P	R-74	1337	1337	1337	1337
 2025-03-25	09:16:07	XA00742852D	R-134	1337	1337	1337	1337
 2025-04-08	08:43:39	XA01865818V	R-147	1337	1337	1337	1337
 2025-04-23	11:30:01	XA00555126J	R-240	1337	1337	1337	1337
 2025-06-11	12:32:36	XA02256055I	R-423	1337	1337	1337	1337
 2025-07-02	10:45:33	XA01082406F	R-445	1337	1337	1337	1337
 2025-07-17	10:23:20	XA01914473H	R-506	-186.889	2.356	-4.121	33.747
 2025-08-27	11:35:56	XA028917703	R-567	-187.367	2.594	-4.083	31.199
 2025-09-10	10:58:08	XA04109971A	R-630	1337	1337	1337	1337
 2025-10-23	11:10:32	XnoDosimeter	Rnorod	-187.937	1.491	-3.849	28.608
