 2024-11-11	14:23:10	XNoDosimeter	RNoRod	+1.6330 mWC 
 2025-01-27	10:25:24	XA010898416	RnoRod	1337 nonunit 2025-02-18	11:40:49	XA01004854K	R-54	1337 nonunits
 2025-03-05	09:05:55	XA013668626	Rnorod	1337 nonunits
 2025-03-12	09:39:17	XA01134549A	R-85	1337 nonunits
 2025-03-25	09:25:51	XA00747006L	R-131	1337 nonunits
 2025-04-08	09:05:24	XA02731744B	R-168	1337 nonunits
 2025-04-23	11:15:57	XA007493758	R-205	1337 nonunits
 2025-05-07	10:39:15	XA00865071L	R-312	+1.6172 mWC 

 2025-05-21	11:28:47	XA021673782	R-332	+1.6213 mWC 

 2025-06-11	11:32:52	XA02057110V	R-407	+1.6186 mWC 

 2025-06-17	12:11:37	XnoDosimeter	Rnorod	+1.6014 mWC 

 2025-07-02	11:06:38	XA00950533H	R-468	1337 nonunits
 2025-07-17	11:35:49	XA01372261M	R-503	+1.6022 mWC 
