 2024-11-22	15:14:02	XNoDosimeter	RNoRod	+2.7333 mWC 

 2025-03-12	09:47:35	XA01048506F	R-27	1337 nonunits
 2025-03-25	09:30:44	XA00620175Q		1337 nonunits
 2025-03-25	09:31:18	XA00620175Q	R-61	1337 nonunits
 2025-04-08	09:15:28	XA02218551M	R-183	1337 nonunits
 2025-04-23	10:58:32	XA01435335J	R-214	1337 nonunits
 2025-05-07	09:46:38	XA02356283E	R-285	1337 nonunits
 2025-05-07	09:55:48	XnoDosimeter	Rnorod	+2.7203 mWC 

 2025-05-21	10:29:25	XA02109702N	R-365	+2.7296 mWC 

 2025-06-11	10:31:22	XA00555341N	R-386	+2.7230 mWC 

 2025-07-02	11:15:15	XA00702681O	R-464	1337 nonunits
 2025-07-17	12:08:54	XA003142121	R-520	+2.7040 mWC 
