 2024-11-14	13:40:50	XNoDosimeter	RNoRod	-2.819	-19.543	8.811	24.804
 2025-03-12	10:12:13	XA02076598W	R-32	1337	1337	1337	1337
 2025-03-25	09:48:23	XA00740420U	R-4	1337	1337	1337	1337
 2025-04-08	09:35:28	XA007631895	R-189	1337	1337	1337	1337
 2025-04-23	12:04:10	XA017860088	R-238	1337	1337	1337	1337
 2025-05-07	09:39:45	XA02150396D	R-271	1337	1337	1337	1337
 2025-06-17	11:29:17	XA00778597T	R-396	1337	1337	1337	1337
 2025-07-02	10:01:38	XA01879578P	R-492	1337	1337	1337	1337
 2025-07-30	12:49:11	XA00560191P	R-555	0.130	-21.661	2.061	30.999
 2025-08-27	08:10:10	XA00893298X	R-614	-0.310	-21.422	2.638	30.384
 2025-09-10	11:55:31	XA01020855I	R-668	1337	1337	1337	1337
 2025-10-21	11:26:20	XnoDosimeter	Rnorod	0.088	-22.099	2.141	27.473
