 2024-11-07	16:10:14	XNoDosimeter	RNoRod	-6.270	-142.218	103.984	24.416
 2025-03-12	09:57:38	XA01365996U	R-30	1337	1337	1337	1337
 2025-03-25	09:36:17	XA00741129H	R-3	1337	1337	1337	1337
 2025-04-08	09:19:48	XA02519150S	R-142	1337	1337	1337	1337
 2025-04-23	11:03:54	XA01879853V	R-232	1337	1337	1337	1337
 2025-07-02	11:19:50	XA007387563	R-451	1337	1337	1337	1337
 2025-07-17	12:16:33	XA028852173	R-541	-2.963	-180.864	145.312	32.076
 2025-08-27	13:39:17	XA01146911H	R-561	-0.641	-180.328	146.010	31.882
 2025-09-10	12:07:39	XA00896459S	R-634	1337	1337	1337	1337
 2025-10-23	09:22:09	XnoDosimeter	Rnorod	-3.496	-180.287	145.856	28.744
