 2024-11-21	12:03:26	XNoDosimeter	RNoRod	-19.672	9.351	4.462	24.447
 2025-01-27	11:00:06	XA04105442P	RnoRod	1337	1337	1337	1337 2025-02-18	11:24:19	XA00121037W	R-80	1337	1337	1337	1337
 2025-03-05	08:57:32	XA02532141U	Rnorod	1337	1337	1337	1337
 2025-03-12	09:06:08	XA01701687B	R-90	1337	1337	1337	1337
 2025-03-25	09:08:05	XA019184197	R-106	1337	1337	1337	1337
 2025-04-08	08:36:56	XA006986621	R-175	1337	1337	1337	1337
 2025-04-23	11:23:15	XA00636763B	R-202	1337	1337	1337	1337
 2025-07-02	10:55:30	XA00820864D	R-469	1337	1337	1337	1337
 2025-07-17	09:27:22	XA007784165	R-517	-132.012	-1.253	-0.051	32.521
 2025-08-27	12:25:10	XA00912143U	R-581	-131.805	2.335	-0.027	32.175
 2025-09-10	11:34:46	XA00247090T	R-643	1337	1337	1337	1337
 2025-10-21	10:19:05	XnoDosimeter	Rnorod	-132.029	-0.217	-0.560	23.717
