 2024-11-05	15:13:36	XNoDosimeter	RNoRod	+1.3063 mWC 
 2025-01-27	11:00:57	XA00801058P	RnoRod	1337 nonunit 2025-02-18	11:24:53	XA01035177J	R-22	1337 nonunits
 2025-03-05	08:57:53	XA008426089	Rnorod	1337 nonunits
 2025-03-12	09:07:01	XA028950571	R-89	1337 nonunits
 2025-03-25	09:09:08	XA01050513Q	R-93	1337 nonunits
 2025-04-08	08:37:33			1337 nonunits
 2025-04-08	08:38:07	XA008493666	R-198	1337 nonunits
 2025-04-23	11:23:49	XA02528328A	R-204	1337 nonunits
 2025-05-07	11:06:37	XA005397556	R-310	+1.2941 mWC 

 2025-05-21	12:09:46	XA029078273	R-345	+1.2952 mWC 

 2025-06-11	12:04:16	XA02447681A	R-434	+1.2932 mWC 

 2025-07-02	10:55:36	XA00889873T	R-455	1337 nonunits
 2025-07-17	09:17:32	XA00714813J	R-523	+1.2785 mWC 
