 2024-11-21	16:10:08	XNoDosimeter	RNoRod	+1.3549 mWC 
 2025-01-27	11:49:35	XA02599825R	RnoRod	1337 nonunit 2025-02-18	10:41:28	XA008583392	R-66	1337 nonunits
 2025-03-05	09:13:59	XA00870425D	Rnorod	1337 nonunits
 2025-03-12	10:15:59	XA00991110O	R-118	1337 nonunits
 2025-03-25	09:54:54	XA00048564F	R-53	1337 nonunits
 2025-04-08	09:40:33	XA00772759V	R-197	1337 nonunits
 2025-04-23	11:57:06	XA01817751F	R-239	1337 nonunits
 2025-04-23	13:30:20	XnoDosimeter	Rnorod	+1.3532 mWC 

 2025-05-07	13:21:06	XA01820064R	R-264	+1.3539 mWC 

 2025-05-21	09:12:34	XA00568124I	R-373	+1.3529 mWC 

 2025-06-17	11:33:32	XA01145370Q	R-384	1337 nonunits
 2025-07-02	09:53:28	XA019347076	R-482	1337 nonunits
