2024-11-21	10:47:07	XNoDosimeter	RNoRod	+3.1067	mWC
2025-01-27	10:09:36	XA00600996A	RnoRod	1337	nonunit
2025-02-18	11:30:52	XA02909096C	R-18	1337	nonunits
2025-03-05	09:00:37	XA00652942B	Rnorod	1337	nonunits
2025-03-12	09:32:39	XA025853645	R-110	1337	nonunits
2025-03-25	09:20:51	XA04105536G	R-111	1337	nonunits
2025-04-08	08:58:24	XA00578631B	R-152	1337	nonunits
2025-04-23	11:20:50	XA009557742	R-218	1337	nonunits
2025-05-07	11:01:46	XA008693662	R-292	+3.0824	mWC
2025-05-21	11:59:13	XA00552521O	R-322	+3.0875	mWC
2025-06-11	11:56:17	XA007950948	R-398	+3.0821	mWC
2025-07-02	10:59:33	XA00603305U	R-463	1337	nonunits
2025-07-17	11:00:09	XA02256237C	R-507	+3.0584	mWC
