2025-01-27	10:25:24	XA010898416	RnoRod	1337	nonunit
2025-02-18	11:40:49	XA01004854K	R-54	1337	nonunits
2025-03-05	09:05:55	XA013668626	Rnorod	1337	nonunits
2025-03-12	09:39:17	XA01134549A	R-85	1337	nonunits
2025-03-25	09:25:51	XA00747006L	R-131	1337	nonunits
2025-04-08	09:05:24	XA02731744B	R-168	1337	nonunits
2025-04-23	11:15:57	XA007493758	R-205	1337	nonunits
2025-05-21	11:34:01	XA021673782	R-332	+1.5298	mWC
2025-06-11	11:36:53	XA02057110V	R-407	+1.5260	mWC
2025-06-17	12:18:05	XnoDosimeter	Rnorod	+1.5160	mWC
2025-07-02	11:06:38	XA00950533H	R-468	1337	nonunits
2025-07-17	11:41:44	XA01372261M	R-503	+1.5144	mWC
