2024-11-21	15:22:22	XNoDosimeter	RNoRod	+0.0087	mWC
2025-03-12	10:09:59	XA01131390U	R-78	1337	nonunits
2025-03-25	09:50:25	XA02256729Z	R-103	1337	nonunits
2025-04-08	09:34:08	XA02388763Y	R-155	1337	nonunits
2025-04-23	12:02:58	XA02833164I	R-253	1337	nonunits
2025-04-23	12:51:20	XnoDosimeter	Rnorod	+0.0270	mWC
2025-05-07	09:37:56	XA00750227I	R-303	1337	nonunits
2025-05-21	09:51:47	XA01141073U	R-330	+0.0086	mWC
2025-06-17	11:27:47	XA00868649T	R-419	1337	nonunits
2025-07-02	10:03:08	XA008383578	R-490	1337	nonunits
