2024-11-22	15:38:07	XNoDosimeter	RNoRod	+0.0023	mWC
2025-03-12	09:15:54	XA025225696	R-26	1337	nonunits
2025-03-25	09:16:36	XA00869042I	R-50	1337	nonunits
2025-04-08	08:44:28	XA00743842D	R-195	1337	nonunits
2025-04-23	11:30:32	XA00763950A	R-246	1337	nonunits
2025-05-07	11:31:30	XA00044262T	R-288	+0.0014	mWC
2025-05-21	12:56:37	XA00621931L	R-355	+0.0010	mWC
2025-06-11	12:33:40	XA02633313N	R-414	1337	nonunits
2025-06-17	10:30:14	XnoDosimeter	Rnorod	+0.0090	mWC
2025-07-02	10:46:31	XA02330642M	R-449	1337	nonunits
2025-07-17	10:28:28	XA01544177D	R-556	+0.0027	mWC
