 2024-11-05	12:26:29	XNoDosimeter	RRodNumber	-21.291	14.615	3.755	24.652
 2025-03-12	09:46:05	XA025118297	R-21	1337	1337	1337	1337
 2025-03-25	09:30:24	XA02530106Q	R-130	1337	1337	1337	1337
 2025-04-08	09:14:44	XA008499820	R-144	1337	1337	1337	1337
 2025-04-23	10:56:05	XA000986643	R-245	1337	1337	1337	1337
 2025-05-07	09:46:01	XA029039184	R-308	1337	1337	1337	1337
 2025-07-02	11:14:37	XA00920860K	R-458	1337	1337	1337	1337
 2025-07-17	12:04:24	XA03254025L	R-519	-135.410	13.314	-2.058	31.622
 2025-08-27	14:18:16	XA022565368	R-566	-135.451	13.747	-2.010	31.584
 2025-09-10	12:12:49	XA02173294C	R-650	1337	1337	1337	1337
 2025-10-23	10:15:10	XnoDosimeter	Rnorod	-135.593	12.756	-2.074	29.092
