 2024-11-07	14:57:15	XNoDosimeter	RNoRod	-5.383	-155.028	117.616	24.452
 2025-03-12	10:12:47	XA00803458F	R-75	1337	1337	1337	1337
 2025-03-25	09:44:09	XA01049230T	R-98	1337	1337	1337	1337
 2025-04-08	09:37:03	XA00740882C	R-176	1337	1337	1337	1337
 2025-04-23	12:05:05	XA012660889	R-258	1337	1337	1337	1337
 2025-05-07	09:40:57	XA041365286	R-270	1337	1337	1337	1337
 2025-06-17	11:30:12	XA02895665S	R-428	1337	1337	1337	1337
 2025-07-02	09:58:17	XA01751009H	R-485	1337	1337	1337	1337
 2025-07-30	12:31:52	XA00340808C	R-559	-5.939	-202.783	163.976	31.298
 2025-08-27	07:52:27	XA005326787	R-604	-4.834	-202.385	164.836	29.352
 2025-09-10	11:53:21	XA012956444	R-657	1337	1337	1337	1337
 2025-10-21	11:05:48	XnoDosimeter	Rnorod	0.384	-202.179	165.446	25.667
