sample_id,date,probe_temp_C,corrected_temp_C,temp_uncertainty_C,correction_source,alpha_used
Y-1-1,2024-04-24,22.5,22.4,1.0,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2024-04-26,24.66,23.8,1.5,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2024-05-06,25.31,24.5,1.5,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2024-06-24,26.3,25.5,1.5,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2024-07-23,22.97,22.2,1.5,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2024-11-05,24.3,24.3,1.0,Y_BASELINE_TEMP_LOOKUP,-0.001
Y-1-1,2025-07-30,32.24,32.24,0.03,teslameter_probe,-0.001
Y-1-1,2025-08-27,31.25,31.25,0.04,teslameter_probe,-0.001
Y-1-1,2025-10-21,23.52,23.52,0.03,teslameter_probe,-0.001
Y-1-1,2026-01-12,27.79,27.79,0.2,teslameter_probe,-0.001
Y-1-2,2024-04-24,21.71,22.4,1.0,Y_BASELINE_TEMP_LOOKUP,-0.0011
Y-1-2,2024-04-26,24.49,23.8,1.5,Y_BASELINE_TEMP_LOOKUP,-0.0011
Y-1-2,2024-11-05,24.3,24.3,1.0,Y_BASELINE_TEMP_LOOKUP,-0.0011
Y-1-2,2025-07-30,32.16,32.16,0.03,teslameter_probe,-0.0011
Y-1-2,2025-08-27,31.37,31.37,0.03,teslameter_probe,-0.0011
Y-1-2,2025-10-21,23.48,23.48,0.04,teslameter_probe,-0.0011
Y-1-2,2026-01-12,27.77,27.77,0.07,teslameter_probe,-0.0011
Y-1-3,2024-11-05,24.3,24.3,1.0,Y_BASELINE_TEMP_LOOKUP,-0.0004
Y-1-3,2025-07-30,32.07,32.07,0.04,teslameter_probe,-0.0004
Y-1-3,2025-08-27,31.43,31.43,0.01,teslameter_probe,-0.0004
Y-1-3,2025-10-21,23.31,23.31,0.02,teslameter_probe,-0.0004
Y-1-3,2026-01-12,27.71,27.71,0.05,teslameter_probe,-0.0004
Y-1-4,2024-11-05,24.3,24.3,1.0,Y_BASELINE_TEMP_LOOKUP,-0.0004
Y-1-4,2025-07-30,32.05,32.05,0.02,teslameter_probe,-0.0004
Y-1-4,2025-08-27,31.17,31.17,0.04,teslameter_probe,-0.0004
Y-1-4,2025-10-21,23.46,23.46,0.08,teslameter_probe,-0.0004
Y-1-4,2026-01-12,27.64,27.64,0.07,teslameter_probe,-0.0004
Y-10-1,2024-11-07,23.8,23.8,1.0,Y_BASELINE_TEMP_LOOKUP,-0.001
