 2024-11-05	15:08:44	XNoDosimeter	RNoRod	+1.3020 mWC 
 2025-01-27	10:11:34	XA04105455I	RnoRod	1337 nonunit 2025-02-18	11:31:40	XA008890078	R-60	1337 nonunits
 2025-03-05	09:00:57	XA007564468	Rnorod	1337 nonunits
 2025-03-12	09:33:33	XA009144995	R-114	1337 nonunits
 2025-03-25	09:21:27	XA01370922C	R-102	1337 nonunits
 2025-04-08	09:00:46	XA00694018A	R-187	1337 nonunits
 2025-04-23	11:21:31	XA02726405G	R-250	1337 nonunits
 2025-05-07	10:58:29	XA008527473	R-309	+1.2940 mWC 
 2025-05-21	11:56:40	XA02179107B	R-371	+1.2958 mWC 
 2025-06-11	11:53:49	XA02903635E	R-391	+1.2936 mWC 
 2025-07-02	11:00:07	XA00816025R	R-450	1337 nonunits
