 2024-11-11	16:39:25	XNoDosimeter	RNoRod	-10.686	-10.457	11.305	22.332
 2025-03-12	09:13:32	XA015128876	R-38	1337	1337	1337	1337
 2025-03-25	09:15:41	XA00918365E	R-128	1337	1337	1337	1337
 2025-04-08	08:42:42	XA01809651H	R-190	1337	1337	1337	1337
 2025-04-23	11:29:34	XA00718119H	R-255	1337	1337	1337	1337
 2025-06-11	12:31:57	XA009328185	R-392	1337	1337	1337	1337
 2025-07-02	10:48:09	XA00825526E	R-453	1337	1337	1337	1337
 2025-07-17	10:00:43	XA005757049	R-536	0.757	-11.663	1.086	33.020
 2025-08-27	11:28:33	XA00780028E	R-572	0.378	-11.394	1.350	31.302
 2025-09-10	11:00:08	XA00922006S	R-628	1337	1337	1337	1337
 2025-10-23	11:28:39	XnoDosimeter	Rnorod	0.321	-12.080	1.031	28.950
