 2024-11-21	16:10:37	XNoDosimeter	RNoRod	-22.347	-1.335	5.179	23.824
 2025-01-27	11:49:35	XA02599825R	RnoRod	1337	1337	1337	1337 2025-02-18	10:41:28	XA008583392	R-66	1337	1337	1337	1337
 2025-03-05	09:13:59	XA00870425D	Rnorod	1337	1337	1337	1337
 2025-03-12	10:15:59	XA00991110O	R-118	1337	1337	1337	1337
 2025-03-25	09:54:54	XA00048564F	R-53	1337	1337	1337	1337
 2025-04-08	09:40:33	XA00772759V	R-197	1337	1337	1337	1337
 2025-04-23	11:57:06	XA01817751F	R-239	1337	1337	1337	1337
 2025-06-17	11:33:32	XA01145370Q	R-384	1337	1337	1337	1337
 2025-07-02	09:53:28	XA019347076	R-482	1337	1337	1337	1337
 2025-07-30	12:25:41	XA01115234U	R-552	-128.297	-5.418	-1.343	31.887
 2025-08-27	07:44:52	XA008317949	R-620	-127.820	-11.375	-1.108	29.928
 2025-09-10	11:42:48	XA00564543E	R-674	1337	1337	1337	1337
 2025-10-21	09:10:46	XnoDosimeter	Rnorod	-127.675	-7.127	-1.495	23.606
